	temp	R	G	B
134	14400.0	0.4853	0.5913	1.0
135	14500.0	0.4835	0.5898	1.0
136	14600.0	0.4817	0.5882	1.0
137	14700.0	0.4799	0.5868	1.0
138	14800.0	0.4782	0.5853	1.0
139	14900.0	0.4765	0.5839	1.0
140	15000.0	0.4749	0.5824	1.0
141	15100.0	0.4733	0.5811	1.0
142	15200.0	0.4717	0.5797	1.0
143	15300.0	0.4701	0.5784	1.0
144	15400.0	0.4686	0.577	1.0
145	15500.0	0.4671	0.5757	1.0
146	15600.0	0.4656	0.5745	1.0
147	15700.0	0.4641	0.5732	1.0
148	15800.0	0.4627	0.572	1.0
149	15900.0	0.4613	0.5708	1.0
150	16000.0	0.4599	0.5696	1.0
151	16100.0	0.4586	0.5684	1.0
152	16200.0	0.4572	0.5673	1.0
153	16300.0	0.4559	0.5661	1.0
154	16400.0	0.4546	0.565	1.0
155	16500.0	0.4534	0.5639	1.0
156	16600.0	0.4521	0.5628	1.0
157	16700.0	0.4509	0.5617	1.0
158	16800.0	0.4497	0.5607	1.0
159	16900.0	0.4485	0.5597	1.0
160	17000.0	0.4474	0.5586	1.0
161	17100.0	0.4462	0.5576	1.0
162	17200.0	0.4451	0.5566	1.0
163	17300.0	0.444	0.5557	1.0
164	17400.0	0.4429	0.5547	1.0
165	17500.0	0.4418	0.5538	1.0
166	17600.0	0.4408	0.5528	1.0
167	17700.0	0.4397	0.5519	1.0
168	17800.0	0.4387	0.551	1.0
169	17900.0	0.4377	0.5501	1.0
170	18000.0	0.4367	0.5492	1.0
171	18100.0	0.4357	0.5483	1.0
172	18200.0	0.4348	0.5475	1.0
173	18300.0	0.4338	0.5466	1.0
174	18400.0	0.4329	0.5458	1.0
175	18500.0	0.4319	0.545	1.0
176	18600.0	0.431	0.5442	1.0
177	18700.0	0.4301	0.5434	1.0
178	18800.0	0.4293	0.5426	1.0
179	18900.0	0.4284	0.5418	1.0
180	19000.0	0.4275	0.541	1.0
181	19100.0	0.4267	0.5403	1.0
182	19200.0	0.4258	0.5395	1.0
183	19300.0	0.425	0.5388	1.0
184	19400.0	0.4242	0.5381	1.0
185	19500.0	0.4234	0.5373	1.0
186	19600.0	0.4226	0.5366	1.0
187	19700.0	0.4218	0.5359	1.0
188	19800.0	0.4211	0.5352	1.0
189	19900.0	0.4203	0.5345	1.0
190	20000.0	0.4196	0.5339	1.0
191	20100.0	0.4188	0.5332	1.0
192	20200.0	0.4181	0.5325	1.0
193	20300.0	0.4174	0.5319	1.0
194	20400.0	0.4167	0.5312	1.0
195	20500.0	0.416	0.5306	1.0
196	20600.0	0.4153	0.53	1.0
197	20700.0	0.4146	0.5293	1.0
198	20800.0	0.4139	0.5287	1.0
199	20900.0	0.4133	0.5281	1.0
200	21000.0	0.4126	0.5275	1.0
201	21100.0	0.4119	0.5269	1.0
202	21200.0	0.4113	0.5264	1.0
203	21300.0	0.4107	0.5258	1.0
204	21400.0	0.41	0.5252	1.0
205	21500.0	0.4094	0.5246	1.0
206	21600.0	0.4088	0.5241	1.0
207	21700.0	0.4082	0.5235	1.0
208	21800.0	0.4076	0.523	1.0
209	21900.0	0.407	0.5224	1.0
210	22000.0	0.4064	0.5219	1.0
211	22100.0	0.4059	0.5214	1.0
212	22200.0	0.4053	0.5209	1.0
213	22300.0	0.4047	0.5203	1.0
214	22400.0	0.4042	0.5198	1.0
215	22500.0	0.4036	0.5193	1.0
216	22600.0	0.4031	0.5188	1.0
217	22700.0	0.4026	0.5183	1.0
218	22800.0	0.402	0.5178	1.0
219	22900.0	0.4015	0.5174	1.0
220	23000.0	0.401	0.5169	1.0
221	23100.0	0.4005	0.5164	1.0
222	23200.0	0.4	0.5159	1.0
223	23300.0	0.3995	0.5155	1.0
224	23400.0	0.399	0.515	1.0
225	23500.0	0.3985	0.5146	1.0
226	23600.0	0.398	0.5141	1.0
227	23700.0	0.3975	0.5137	1.0
228	23800.0	0.397	0.5132	1.0
229	23900.0	0.3966	0.5128	1.0
230	24000.0	0.3961	0.5123	1.0
231	24100.0	0.3956	0.5119	1.0
232	24200.0	0.3952	0.5115	1.0
233	24300.0	0.3947	0.5111	1.0
234	24400.0	0.3943	0.5107	1.0
235	24500.0	0.3938	0.5103	1.0
236	24600.0	0.3934	0.5098	1.0
237	24700.0	0.393	0.5094	1.0
238	24800.0	0.3925	0.509	1.0
239	24900.0	0.3921	0.5086	1.0
240	25000.0	0.3917	0.5083	1.0
241	25100.0	0.3913	0.5079	1.0
242	25200.0	0.3909	0.5075	1.0
243	25300.0	0.3905	0.5071	1.0
244	25400.0	0.3901	0.5067	1.0
245	25500.0	0.3897	0.5064	1.0
246	25600.0	0.3893	0.506	1.0
247	25700.0	0.3889	0.5056	1.0
248	25800.0	0.3885	0.5053	1.0
249	25900.0	0.3881	0.5049	1.0
250	26000.0	0.3877	0.5045	1.0
251	26100.0	0.3874	0.5042	1.0
252	26200.0	0.387	0.5038	1.0
253	26300.0	0.3866	0.5035	1.0
254	26400.0	0.3863	0.5032	1.0
255	26500.0	0.3859	0.5028	1.0
256	26600.0	0.3855	0.5025	1.0
257	26700.0	0.3852	0.5021	1.0
258	26800.0	0.3848	0.5018	1.0
259	26900.0	0.3845	0.5015	1.0
260	27000.0	0.3841	0.5012	1.0
261	27100.0	0.3838	0.5008	1.0
262	27200.0	0.3835	0.5005	1.0
263	27300.0	0.3831	0.5002	1.0
264	27400.0	0.3828	0.4999	1.0
265	27500.0	0.3825	0.4996	1.0
266	27600.0	0.3821	0.4993	1.0
267	27700.0	0.3818	0.499	1.0
268	27800.0	0.3815	0.4987	1.0
269	27900.0	0.3812	0.4984	1.0
270	28000.0	0.3809	0.4981	1.0
271	28100.0	0.3805	0.4978	1.0
272	28200.0	0.3802	0.4975	1.0
273	28300.0	0.3799	0.4972	1.0
274	28400.0	0.3796	0.4969	1.0
275	28500.0	0.3793	0.4966	1.0
276	28600.0	0.379	0.4963	1.0
277	28700.0	0.3787	0.496	1.0
278	28800.0	0.3784	0.4958	1.0
279	28900.0	0.3781	0.4955	1.0
280	29000.0	0.3779	0.4952	1.0
281	29100.0	0.3776	0.4949	1.0
282	29200.0	0.3773	0.4947	1.0
283	29300.0	0.377	0.4944	1.0
284	29400.0	0.3767	0.4941	1.0
285	29500.0	0.3764	0.4939	1.0
286	29600.0	0.3762	0.4936	1.0
287	29700.0	0.3759	0.4934	1.0
288	29800.0	0.3756	0.4931	1.0
289	29900.0	0.3754	0.4928	1.0
290	30000.0	0.3751	0.4926	1.0
291	30100.0	0.3748	0.4923	1.0
292	30200.0	0.3746	0.4921	1.0
293	30300.0	0.3743	0.4918	1.0
